"GeoFIPS","State","Region","TableName","LineCode","Type","Description","Unit","Year","Value","IPC"
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","1997",432762.132089087,67.7236935184677
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","1998",465583.297663105,68.7749542578521
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","1999",499048.595607985,70.27976896172
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2000",499948.409228804,72.6530164502968
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2001",513061.713600339,74.7063150181914
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2002",528844.716555942,75.8911808013771
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2003",517327.272902922,77.6139826819736
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2004",513616.738296832,79.6918927053052
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2005",497543.578176574,82.3956368811801
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2006",464353.015111901,85.0536740683861
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2007",457902.499003058,87.4799768230408
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2008",377964.738599877,90.8384208727644
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2009",351965.444714432,90.5154482589856
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2010",374420.023000566,91.9999409325069
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2011",384786.207379625,94.9042333109721
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2012",409430.772378769,96.8681219771859
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2013",424809.658693214,98.2870778608004
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2014",442516.322448971,99.8815134216813
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2015",475346,100
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2016",478284.542535883,101.261583205705
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2017",485551.306570025,103.418566319434
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2018",491648.228907882,105.944650946275
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2019",479305.856719457,107.864590584923
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2020",488966.953059598,109.195191343518
" 00000","United States",NA,"SAPCE1",4,"Durable goods","   Motor vehicles and parts ","Millions of current dollars","2021",605732.587382329,113.700156528856
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","1997",236977.919634929,67.7236935184677
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","1998",252387.081711773,68.7749542578521
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","1999",272034.047385862,70.27976896172
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2000",286437.797310685,72.6530164502968
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2001",287713.428172252,74.7063150181914
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2002",297621.275113829,75.8911808013771
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2003",302987.930620159,77.6139826819736
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2004",319117.028554487,79.6918927053052
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2005",329232.845655643,82.3956368811801
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2006",333433.685383159,85.0536740683861
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2007",324025.691700163,87.4799768230408
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2008",291009.682313025,90.8384208727644
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2009",263242.578568732,90.5154482589856
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2010",261874.298568025,91.9999409325069
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2011",260116.742307068,94.9042333109721
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2012",262148.160629982,96.8681219771859
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2013",268183.47410156,98.2870778608004
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2014",276494.108408306,99.8815134216813
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2015",294219.7,100
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2016",304645.740500944,101.261583205705
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2017",312126.063518385,103.418566319434
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2018",326609.976916598,105.944650946275
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2019",334174.540546936,107.864590584923
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2020",377235.567731299,109.195191343518
" 00000","United States",NA,"SAPCE1",5,"Durable goods","   Furnishings and durable household equipment ","Millions of current dollars","2021",435357.096341702,113.700156528856
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","1997",257859.533240577,67.7236935184677
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","1998",278240.3886196,68.7749542578521
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","1999",300116.951316224,70.27976896172
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2000",317755.010430894,72.6530164502968
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2001",314475.556641755,74.7063150181914
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2002",322531.942994302,75.8911808013771
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2003",334303.421927429,77.6139826819736
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2004",357429.206824495,79.6918927053052
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2005",371865.442877576,82.3956368811801
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2006",383663.261551321,85.0536740683861
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2007",387734.327692075,87.4799768230408
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2008",361147.955730658,90.8384208727644
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2009",328691.406519621,90.5154482589856
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2010",324578.68665271,91.9999409325069
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2011",321748.239616934,94.9042333109721
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2012",321902.906379706,96.8681219771859
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2013",327164.981398076,98.2870778608004
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2014",330319.384135786,99.8815134216813
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2015",336482.1,100
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2016",345061.660047513,101.261583205705
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2017",354734.273599247,103.418566319434
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2018",367963.928823257,105.944650946275
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2019",385433.808950193,107.864590584923
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2020",452875.162280993,109.195191343518
" 00000","United States",NA,"SAPCE1",6,"Durable goods","   Recreational goods and vehicles ","Millions of current dollars","2021",531126.269687004,113.700156528856
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","1997",128942.760595577,67.7236935184677
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","1998",136895.474545882,68.7749542578521
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","1999",146175.352477262,70.27976896172
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2000",151927.621718931,72.6530164502968
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2001",145037.805670934,74.7063150181914
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2002",149397.991707019,75.8911808013771
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2003",156743.921386546,77.6139826819736
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2004",165777.08913068,79.6918927053052
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2005",171103.234754171,82.3956368811801
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2006",180434.886183291,85.0536740683861
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2007",188411.80117527,87.4799768230408
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2008",179454.572672867,90.8384208727644
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2009",174275.776162154,90.5154482589856
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2010",179304.354250638,91.9999409325069
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2011",185561.690828854,94.9042333109721
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2012",187733.277251756,96.8681219771859
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2013",189983.977613473,98.2870778608004
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2014",194219.123593987,99.8815134216813
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2015",201557.4,100
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2016",200442.55044648,101.261583205705
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2017",199616.284915764,103.418566319434
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2018",201943.088290973,105.944650946275
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2019",201492.351494986,107.864590584923
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2020",189041.016788559,109.195191343518
" 00000","United States",NA,"SAPCE1",7,"Durable goods","   Other durable goods ","Millions of current dollars","2021",239783.574907223,113.700156528856
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","1997",701050.364110061,67.7236935184677
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","1998",708742.019911047,68.7749542578521
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","1999",733540.260043824,70.27976896172
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2000",744054.997867596,72.6530164502968
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2001",754960.00553991,74.7063150181914
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2002",757732.576997359,75.8911808013771
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2003",772515.697921087,77.6139826819736
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2004",793812.86919527,79.6918927053052
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2005",810984.810959846,82.3956368811801
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2006",823315.87397032,85.0536740683861
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2007",842858.019374553,87.4799768230408
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2008",846652.212368644,90.8384208727644
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2009",853920.203530859,90.5154482589856
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2010",855289.788258952,91.9999409325069
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2011",863546.72642959,94.9042333109721
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2012",873556.731283894,96.8681219771859
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2013",879051.467196569,98.2870778608004
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2014",897919.313871068,99.8815134216813
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2015",920955.4,100
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2016",928916.248612438,101.261583205705
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2017",940741.430310444,103.418566319434
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2018",943622.25093078,105.944650946275
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2019",955658.195530281,107.864590584923
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2020",1031317.30082988,109.195191343518
" 00000","United States",NA,"SAPCE1",9,"Nondurable goods","   Food and beverages purchased for off-premises consumption ","Millions of current dollars","2021",1059834.42484898,113.700156528856
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","1997",365449.796285121,67.7236935184677
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","1998",374853.466326466,68.7749542578521
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","1999",385739.600464055,70.27976896172
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2000",386537.839336818,72.6530164502968
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2001",371947.672606175,74.7063150181914
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2002",367413.969654482,75.8911808013771
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2003",367582.605790261,77.6139826819736
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2004",373161.672919086,79.6918927053052
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2005",376851.62922859,82.3956368811801
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2006",376259.818879418,85.0536740683861
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2007",369769.302356287,87.4799768230408
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2008",349381.348718663,90.8384208727644
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2009",335901.336012902,90.5154482589856
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2010",344142.938344137,91.9999409325069
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2011",350443.37686204,94.9042333109721
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2012",356380.915572313,96.8681219771859
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2013",356642.101514549,98.2870778608004
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2014",361178.548103269,99.8815134216813
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2015",368734.4,100
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2016",371025.504545767,101.261583205705
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2017",367861.123528754,103.418566319434
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2018",369356.354006429,105.944650946275
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2019",368811.023008329,107.864590584923
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2020",328185.788761175,109.195191343518
" 00000","United States",NA,"SAPCE1",10,"Nondurable goods","   Clothing and footwear ","Millions of current dollars","2021",405715.800297007,113.700156528856
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","1997",218034.770888174,67.7236935184677
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","1998",192446.074923981,68.7749542578521
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","1999",208516.479443494,70.27976896172
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2000",253968.257637631,72.6530164502968
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2001",238247.462689947,74.7063150181914
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2002",221237.564400834,75.8911808013771
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2003",253062.261738075,77.6139826819736
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2004",292040.372112415,79.6918927053052
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2005",344399.182700917,82.3956368811801
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2006",375821.272274482,85.0536740683861
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2007",395000.790522602,87.4799768230408
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2008",430532.363115152,90.8384208727644
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2009",317103.329344122,90.5154482589856
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2010",365997.62628872,91.9999409325069
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2011",436019.433025818,94.9042333109721
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2012",435576.319007581,96.8681219771859
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2013",425537.424759281,98.2870778608004
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2014",403822.175077742,99.8815134216813
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2015",309433.8,100
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2016",272261.988477844,101.261583205705
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2017",299635.753064746,103.418566319434
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2018",330701.736114708,105.944650946275
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2019",312517.108878841,107.864590584923
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2020",226900.650982473,109.195191343518
" 00000","United States",NA,"SAPCE1",11,"Nondurable goods","   Gasoline and other energy goods ","Millions of current dollars","2021",324922.94758296,113.700156528856
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","1997",621704.721236424,67.7236935184677
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","1998",656560.233114871,68.7749542578521
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","1999",709053.55461744,70.27976896172
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2000",735928.976005807,72.6530164502968
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2001",755252.082588479,74.7063150181914
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2002",779602.970664628,75.8911808013771
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2003",803346.740438324,77.6139826819736
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2004",826596.379679344,79.6918927053052
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2005",839628.439303947,82.3956368811801
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2006",871672.397601422,85.0536740683861
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2007",883213.425585294,87.4799768230408
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2008",866278.269084196,90.8384208727644
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2009",888137.125167687,90.5154482589856
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2010",900725.795691464,91.9999409325069
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2011",904799.680733235,94.9042333109721
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2012",908623.066117969,96.8681219771859
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2013",923604.628154328,98.2870778608004
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2014",961069.938885835,99.8815134216813
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2015",1016263.8,100
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2016",1041477.49483397,101.261583205705
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2017",1061617.88842521,103.418566319434
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2018",1078958.7674225,105.944650946275
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2019",1109945.71388782,107.864590584923
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2020",1182346.29576171,109.195191343518
" 00000","United States",NA,"SAPCE1",12,"Nondurable goods","   Other nondurable goods ","Millions of current dollars","2021",1231747.64464336,113.700156528856
" 00000","United States",NA,"SAPCE1",15,"Services","   Housing and utilities ","Millions of current dollars","1997",1491091.59222781,67.7236935184677
" 00000","United States",NA,"SAPCE1",15,"Services","   Housing and utilities ","Millions of current dollars","1998",1549215.27974459,68.7749542578521
" 00000","United States",NA,"SAPCE1",15,"Services","   Housing and utilities ","Millions of current dollars","1999",1598088.91889179,70.27976896172
